"GEO_ID","NAME","P001001","P001001ERR",
"Geography","Geographic Area Name","Total","Errata of Total",
"8600000US10532","ZCTA5 10532","4931","null",
"8600000US10533","ZCTA5 10533","7322","null",
"8600000US10535","ZCTA5 10535","555","null",
"8600000US10536","ZCTA5 10536","10739","null",
"8600000US10537","ZCTA5 10537","2416","null",
"8600000US10538","ZCTA5 10538","16597","null",
"8600000US10541","ZCTA5 10541","26339","null",
"8600000US10543","ZCTA5 10543","20135","null",
"8600000US10545","ZCTA5 10545","141","null",
"8600000US10546","ZCTA5 10546","1277","null",
"8600000US10547","ZCTA5 10547","7647","null",
"8600000US10548","ZCTA5 10548","3487","null",
"8600000US10549","ZCTA5 10549","16638","null",
"8600000US10550","ZCTA5 10550","37144","null",
"8600000US10552","ZCTA5 10552","19786","null",
"8600000US10553","ZCTA5 10553","10170","null",
"8600000US10560","ZCTA5 10560","4737","null",
"8600000US10562","ZCTA5 10562","31796","null",
"8600000US10566","ZCTA5 10566","23570","null",
"8600000US10567","ZCTA5 10567","19929","null",
"8600000US10570","ZCTA5 10570","12680","null",
"8600000US10573","ZCTA5 10573","38352","null",
"8600000US10576","ZCTA5 10576","5116","null",
"8600000US10577","ZCTA5 10577","6552","null",
"8600000US10578","ZCTA5 10578","681","null",
"8600000US10579","ZCTA5 10579","8675","null",
"8600000US10580","ZCTA5 10580","17208","null",
"8600000US10583","ZCTA5 10583","38982","null",
"8600000US10588","ZCTA5 10588","2282","null",
"8600000US10589","ZCTA5 10589","8475","null",
"8600000US10590","ZCTA5 10590","6767","null",
"8600000US10591","ZCTA5 10591","22540","null",
"8600000US10594","ZCTA5 10594","5117","null",
"8600000US10595","ZCTA5 10595","8195","null",
"8600000US10596","ZCTA5 10596","1729","null",
"8600000US10597","ZCTA5 10597","968","null",
"8600000US10598","ZCTA5 10598","28647","null",
"8600000US10601","ZCTA5 10601","11376","null",
"8600000US10603","ZCTA5 10603","17045","null",
"8600000US10604","ZCTA5 10604","11250","null",
"8600000US10605","ZCTA5 10605","18126","null",
"8600000US10606","ZCTA5 10606","16499","null",
"8600000US10607","ZCTA5 10607","6824","null",
